LOADED TRAINER
LOADED GEN NUMBER:  999
Gen: 1131, Best Score: -144.3414133947948, Avg Score: -8.927992678542478e+50, Time: 0.17206016388204362
Gen: 1132, Best Score: -144.3414133947948, Avg Score: -3.4355367613497435e+54, Time: 0.17311884873443179
Gen: 1133, Best Score: -144.3414133947948, Avg Score: -5.676340114248515e+54, Time: 0.1741736180914773
Gen: 1134, Best Score: -144.3414133947948, Avg Score: -1.6110416699879707e+57, Time: 0.17518610252274408
Gen: 1135, Best Score: -144.3414133947948, Avg Score: -5.856184268315533e+93, Time: 0.17625142461723753
Gen: 1136, Best Score: -144.3414133947948, Avg Score: -7.228535711756917e+51, Time: 0.17729244185818566
Gen: 1137, Best Score: -144.3414133947948, Avg Score: -4.945956986442316e+56, Time: 0.17841069870524937
Gen: 1138, Best Score: -144.3414133947948, Avg Score: -2.3830890631486707e+53, Time: 0.17948088924090067
Gen: 1139, Best Score: -144.3414133947948, Avg Score: -8.13378607313119e+70, Time: 0.1805550907055537
Validation champ met/exceeded the best test score with (UUID('ffaa7584-06ed-49f2-a704-6257adf5eec9'), {'validation': -2061.2227295827392}) on test data.
Gen: 1140, Best Score: -140.38703827640003, Avg Score: -3.68009777076945e+42, Time: 0.18354570031166076
Gen: 1141, Best Score: -143.0688107386332, Avg Score: -3.6426437929550467e+81, Time: 0.18467909594376883
Gen: 1142, Best Score: -144.19790037810287, Avg Score: -3.0785252918968786e+40, Time: 0.18573388304975297
Gen: 1143, Best Score: -144.19790037810287, Avg Score: -2.4818454914225276e+54, Time: 0.18679886639118196
Gen: 1144, Best Score: -144.19790037810287, Avg Score: -2.0778823290368075e+54, Time: 0.1878520052300559
Gen: 1145, Best Score: -143.03578488485536, Avg Score: -1.0461382845897567e+50, Time: 0.1889235876003901
Gen: 1146, Best Score: -143.03578488485536, Avg Score: -4.301428898185423e+56, Time: 0.1900003410047955
Gen: 1147, Best Score: -143.03578488485536, Avg Score: -1.1785500819132499e+54, Time: 0.1910700496037801
Gen: 1148, Best Score: -143.03578488485536, Avg Score: -2.9390603086449617e+29, Time: 0.19213652869065603
Gen: 1149, Best Score: -143.03578488485536, Avg Score: -1.614173932235992e+54, Time: 0.19319586561785804
Validation champ met/exceeded the best test score with (UUID('ffe089b0-a526-4190-9ae6-867b36e172fd'), {'validation': -140.48131344004233}) on test data.
Gen: 1150, Best Score: -140.36551468838684, Avg Score: -2.4920681277337287e+43, Time: 0.19608330415354835
Gen: 1151, Best Score: -144.3414133947948, Avg Score: -3.1247011518025014e+109, Time: 0.19720605545573763
Gen: 1152, Best Score: -144.3414133947948, Avg Score: -6.754284409411652e+48, Time: 0.1983216106891632
Gen: 1153, Best Score: -144.3414133947948, Avg Score: -3.6702828597718845e+51, Time: 0.19936085157924227
Gen: 1154, Best Score: -144.3414133947948, Avg Score: -1.09156834371514e+55, Time: 0.2004797473218706
Gen: 1155, Best Score: -144.3414133947948, Avg Score: -2.891547466190202e+56, Time: 0.20156995395819347
Gen: 1156, Best Score: -144.3414133947948, Avg Score: -1.207647035738748e+54, Time: 0.20266747143533495
Gen: 1157, Best Score: -144.3414133947948, Avg Score: -3.356579487097121e+51, Time: 0.20372013158268398
Gen: 1158, Best Score: -144.27290249888048, Avg Score: -3.1360513943961205e+48, Time: 0.20475006971094342
Gen: 1159, Best Score: -144.3414133947948, Avg Score: -1.8935026362565968e+49, Time: 0.20583780732419757
Validation champ met/exceeded the best test score with (UUID('ffd3e3b9-672e-4c0a-809c-06609573733c'), {'validation': -203.53969211268733}) on test data.
Gen: 1160, Best Score: -140.38703827640003, Avg Score: -2.236998831987568e+54, Time: 0.2089553107155694
Gen: 1161, Best Score: -144.19790037810287, Avg Score: -5.1243433182091825e+51, Time: 0.21003121150864495
Gen: 1162, Best Score: -144.19790037810287, Avg Score: -5.124015043567007e+55, Time: 0.211147411664327
Gen: 1163, Best Score: -144.19790037810287, Avg Score: -2.466877835772533e+51, Time: 0.21220873567793105
Gen: 1164, Best Score: -144.19790037810287, Avg Score: -9.003209989915795e+55, Time: 0.2132523962524202
Gen: 1165, Best Score: -143.749983157274, Avg Score: -8.259545941671313e+55, Time: 0.21436666899257237
Gen: 1166, Best Score: -143.749983157274, Avg Score: -8.966806129795218e+54, Time: 0.2154293009969923
Gen: 1167, Best Score: -144.3414133947948, Avg Score: -2.923019627233258e+49, Time: 0.2164825533496009
Gen: 1168, Best Score: -144.3414133947948, Avg Score: -6.712951214425083e+51, Time: 0.21758372883001964
Gen: 1169, Best Score: -144.3414133947948, Avg Score: -2.2039680819640054e+38, Time: 0.21862811472680835
Validation champ met/exceeded the best test score with (UUID('fea69d6f-f0e7-461a-889d-8bfd0e1fc7c6'), {'validation': -140.48131344004233}) on test data.
Gen: 1170, Best Score: -140.38703827640003, Avg Score: -7.138489168025629e+42, Time: 0.22163509395387437
Gen: 1171, Best Score: -144.3414133947948, Avg Score: -7.947211398669952e+55, Time: 0.22273687760035196
Gen: 1172, Best Score: -144.3414133947948, Avg Score: -2.0766966243074238e+76, Time: 0.2238254545794593
Gen: 1173, Best Score: -144.3414133947948, Avg Score: -8.942956180069934e+55, Time: 0.2249855731593238
Gen: 1174, Best Score: -144.3414133947948, Avg Score: -4.076885686305611e+68, Time: 0.22599544809924232
Gen: 1175, Best Score: -144.3414133947948, Avg Score: -3.359467557538607e+54, Time: 0.2271731983290778
Gen: 1176, Best Score: -144.3414133947948, Avg Score: -4.0355434421918275e+55, Time: 0.22823672360844083
Gen: 1177, Best Score: -144.3414133947948, Avg Score: -1.0589099849846328e+56, Time: 0.22929985086123147
Gen: 1178, Best Score: -144.3414133947948, Avg Score: -5.201931797123053e+47, Time: 0.2303431980477439
Gen: 1179, Best Score: -144.19790037810287, Avg Score: -3.1877733722737184e+55, Time: 0.23153580188751222
Validation champ met/exceeded the best test score with (UUID('fe4a9a6e-ef7c-4d7a-996e-2389cb140fd3'), {'validation': -16323877897.004253}) on test data.
Gen: 1180, Best Score: -140.38703827640003, Avg Score: -1.4145930603944622e+34, Time: 0.23454616480403476
Gen: 1181, Best Score: -144.3414133947948, Avg Score: -1.0890128949113456e+77, Time: 0.23561783717738258
Gen: 1182, Best Score: -144.3414133947948, Avg Score: -6.885816840243014e+54, Time: 0.2367585492134094
Gen: 1183, Best Score: -144.1064050951422, Avg Score: -1.3675610377617655e+48, Time: 0.23787910170025295
Gen: 1184, Best Score: -144.1064050951422, Avg Score: -1.2729789619413417e+55, Time: 0.23899051321877374
Gen: 1185, Best Score: -144.1064050951422, Avg Score: -9.04882693716547e+52, Time: 0.24002561198340522
Gen: 1186, Best Score: -144.1064050951422, Avg Score: -2.2784619199285576e+43, Time: 0.2410714691877365
Gen: 1187, Best Score: -144.1064050951422, Avg Score: -1.896279695343492e+51, Time: 0.24221343749099308
Gen: 1188, Best Score: -144.1064050951422, Avg Score: -1.1564203442393463e+40, Time: 0.2433772584464815
Gen: 1189, Best Score: -144.1064050951422, Avg Score: -1.5525064559881862e+54, Time: 0.24451856089962853
Validation champ met/exceeded the best test score with (UUID('ffa06708-a449-4a2c-baff-0056a948ecec'), {'validation': -303.82392620295}) on test data.
Gen: 1190, Best Score: -140.38703827640003, Avg Score: -1.1848657495122632e+43, Time: 0.247406115465694
Gen: 1191, Best Score: -142.10002900835403, Avg Score: -2.9699992832798044e+50, Time: 0.24853802488909826
Gen: 1192, Best Score: -144.31007078534827, Avg Score: -4.8167188587672075e+51, Time: 0.2496405494875378
Gen: 1193, Best Score: -144.31007078534827, Avg Score: -6.190094302811759e+56, Time: 0.25072650300131905
Gen: 1194, Best Score: -144.31007078534827, Avg Score: -9.657419999135542e+50, Time: 0.25185187571578554
Gen: 1195, Best Score: -144.31007078534827, Avg Score: -1.0503698000603306e+53, Time: 0.25292409618695577
Gen: 1196, Best Score: -144.31007078534827, Avg Score: -2.651336890097625e+55, Time: 0.2540097249878777
Gen: 1197, Best Score: -144.31007078534827, Avg Score: -4.404258783234588e+56, Time: 0.25514545592996807
Gen: 1198, Best Score: -144.31007078534827, Avg Score: -1.597261337843418e+54, Time: 0.25623275008466506
Gen: 1199, Best Score: -144.31007078534827, Avg Score: -1.131967805986735e+84, Time: 0.2573113610347112
Validation champ met/exceeded the best test score with (UUID('fbc2fcc7-c17e-4798-8ea0-fa395d49bbca'), {'task': -144.3414133947948, 'validation': -140.48131344004233}) on test data.
Gen: 1200, Best Score: -140.48131344004233, Avg Score: -1.25178649627772e+42, Time: 0.2603535497188568
Gen: 1201, Best Score: -144.31007078534827, Avg Score: -2.2567963726233036e+53, Time: 0.26149855454762777
Gen: 1202, Best Score: -144.31007078534827, Avg Score: -8.688924303192382e+56, Time: 0.26258193055788676
Gen: 1203, Best Score: -144.31007078534827, Avg Score: -3.786957159430615e+49, Time: 0.2636861414379544
Gen: 1204, Best Score: -144.31007078534827, Avg Score: -3.6691096007971354e+83, Time: 0.2648343218035168
Gen: 1205, Best Score: -144.31007078534827, Avg Score: -6.618289685735893e+54, Time: 0.26598081443044874
Gen: 1206, Best Score: -144.31007078534827, Avg Score: -3.1046875905989715e+69, Time: 0.2670574206776089
Gen: 1207, Best Score: -144.31007078534827, Avg Score: -7.949624916794155e+55, Time: 0.2681107189920213
Gen: 1208, Best Score: -144.31007078534827, Avg Score: -1.4578101556519292e+54, Time: 0.2691711350944307
